Name,CR,HP,AC,STR,DEX,CON,INT,WIS,CHA,avg_attack_1,avg_attack_2,max_attack_1,max_attack_2,spellcasting,Size
55,Giant Strider,1,22,14,18,13,14,4,12,6,8.5,14,12,24,0,3
56,Gnoll Flesh Gnawer,1,22,14,12,14,12,8,10,8,4.5,5.5,6,8,0,2
57,Goblin Boss,1,21,17,10,14,10,10,8,10,5.5,5.5,8,8,0,1
58,Grung Wildling,1,27,13,7,16,15,10,15,11,5.5,6.5,7,9,1,1
59,Harpy,1,38,11,12,13,12,7,10,13,6,3.5,9,5,0,2
60,Hippogriff,1,19,11,17,13,13,2,12,8,8.5,10,13,15,0,3
61,Kobold Scale Sorcerer,1,27,15,7,15,14,10,9,14,4.5,0,6,0,1,1
62,Kuo-Toa Whip,1,65,11,14,10,14,12,14,11,4.5,5.5,6,8,1,2
63,Nilbog,1,7,13,8,14,10,10,8,15,5.5,5.5,8,8,1,1
64,Quickling,1,10,16,4,23,13,10,12,7,8.5,0,10,0,0,0
65,Scarecrow,1,36,11,11,13,11,10,10,13,6,0,9,0,0,2
66,Sea Spawn,1,32,11,15,8,15,6,10,8,4.5,0,6,0,0,2
67,Specter,1,22,12,1,14,11,10,10,11,3.5,0,6,0,0,2
68,Thorny,1,27,14,13,12,13,2,10,6,8,0,13,0,0,2
69,Thri-Kreen,1,33,15,12,15,13,8,12,7,4.5,6,7,9,0,2
70,Vargouille,1,13,12,6,14,14,4,7,2,16,0,26,0,0,0
71,Xvart Warlock of Raxivort,1,22,12,8,14,12,8,11,12,5.5,0,8,0,1,1
72,Yuan-Ti Pureblood,1,40,11,11,12,11,13,12,14,4.5,4.5,7,7,1,2
73,Ankheg,2,39,14,17,11,13,1,13,6,13.5,10.5,21,18,0,3
74,Azer,2,39,17,17,12,15,12,13,10,7.5,0,11,0,0,2
75,Carrion Crawler,2,51,13,14,13,16,1,12,5,4.5,7,6,10,0,3
76,Centaur,2,45,12,18,14,14,9,13,11,9.5,11,14,16,0,3
77,Ettercap,2,44,13,14,15,13,7,12,8,11,7,18,10,0,2
78,Gargoyle,2,52,15,15,11,16,6,11,7,5.5,5.5,8,8,0,2
79,Gibbering Mouther,2,67,9,10,8,16,3,10,6,17.5,0,30,0,0,2
80,Githzerai Monk,2,38,14,12,15,12,13,14,10,15.5,0,26,0,1,2
81,Gnoll Pack Lord,2,49,15,16,14,13,8,11,9,5.5,8.5,7,13,0,2
82,Grick,2,27,14,14,14,11,3,14,5,9,5.5,14,8,0,2
83,Griffon,2,59,12,18,15,16,2,13,8,8.5,11,12,16,0,3
84,Grung Elite Warrior,2,49,13,7,16,15,10,11,12,5.5,6.5,7,9,0,1
85,Guard Drake,2,52,14,16,11,16,4,10,7,7.5,6.5,11,9,0,2
86,Hobgoblin Iron Shadow,2,32,15,14,16,15,14,15,11,5.5,5.5,7,7,1,2
87,Intellect Devourer,2,21,12,6,14,13,12,11,10,7,0,10,0,0,0
88,Lizardfolk Shaman,2,27,13,15,10,13,10,15,8,5.5,4.5,8,6,1,2
89,Meenlock,2,31,15,7,15,12,11,10,8,7,0,10,0,0,1
90,Merrow,2,45,13,18,10,15,8,10,9,8.5,9,12,12,0,3
91,Mimic,2,58,12,17,12,15,5,13,8,7.5,12,11,19,0,2
92,Myconid Sovereign,2,60,13,12,10,14,13,15,10,16,0,25,0,0,3
93,Nothic,2,45,15,14,16,16,13,10,8,6.5,0,9,0,0,2
94,Ogre,2,59,11,19,8,16,5,7,7,13,11,20,16,0,3
95,Orc Claw of Luthic,2,45,14,14,15,16,10,15,11,6.5,0,10,0,1,2
96,Orc Eye of Gruumsh,2,45,16,16,12,16,9,13,12,12,0,19,0,1,2
97,Orc Hand of Yurtrus,2,30,12,12,11,16,11,14,9,9,0,16,0,1,2
98,Pegasus,2,59,12,18,15,16,10,15,13,11,0,16,0,0,3
99,Peryton,2,33,13,16,12,13,9,12,10,7.5,8,11,11,0,2
100,Quaggoth,2,45,13,17,12,16,6,12,7,6.5,0,9,0,0,2
101,Sahuagin Priestess,2,33,12,13,11,12,12,14,13,3.5,3.5,5,5,1,2
102,Shadow Mastiff,2,33,12,16,14,13,5,12,5,10,0,15,0,0,2
103,Vegepygmy Chief,2,33,14,14,14,14,7,12,9,5.5,6.5,8,10,0,1
104,Will-O'-Wisp,2,22,19,1,28,10,13,14,11,9,0,16,0,0,0
105,Basilisk,3,52,15,16,8,15,2,8,7,17,0,27,0,0,2
106,Bugbear Chief,3,65,17,17,14,14,11,12,11,12,10,19,15,0,2
107,Cave Fisher,3,58,16,16,13,14,3,10,3,10,0,15,0,0,2
108,Deep Scion,3,67,11,18,13,16,10,12,14,8.5,6.5,12,8,0,2
109,Displacer Beast,3,85,13,18,15,16,6,12,8,11,0,16,0,0,3
110,Doppelganger,3,52,14,11,18,14,11,12,14,7.5,0,10,0,0,2
111,Flail Snail,3,52,16,17,5,20,3,10,5,6.5,0,9,0,0,3
112,Githyanki Warrior,3,49,17,15,14,12,13,13,10,16,0,26,0,1,2
113,Grell,3,55,12,15,14,13,12,11,9,7.5,7,12,10,0,2
114,Hell Hound,3,45,15,17,12,14,6,13,6,14.5,21,23,36,0,2
115,Hobgoblin Captain,3,39,17,15,14,14,12,10,13,9,5.5,14,8,0,2
116,Hook Horror,3,75,15,18,10,15,6,12,7,11,0,16,0,0,3
117,Leucrotta,3,67,14,18,14,15,9,12,6,8.5,11,12,16,0,3
118,Manticore,3,68,14,17,16,17,7,12,8,7.5,6.5,11,9,0,3
119,Minotaur,3,76,14,18,11,16,6,16,9,17,13,28,20,0,3
120,Mummy,3,58,11,16,8,15,6,10,12,20.5,0,33,0,0,2
121,Neogi,3,33,15,6,16,14,13,12,15,6.5,8,9,11,0,1
122,Nightmare,3,68,13,18,15,16,10,13,15,20,0,32,0,0,3
123,Orc Red Fang of Shargaas,3,52,15,11,16,15,9,11,9,13.5,10.5,21,15,0,2
124,Owlbear,3,59,13,20,12,17,3,12,7,10.5,14,15,21,0,3
125,Redcap,3,45,13,18,13,18,10,12,9,9,20.5,12,34,0,1
126,Slithering Tracker,3,32,14,16,19,15,10,14,11,8.5,16.5,13,30,0,2
127,Trapper,3,85,13,17,10,17,2,13,4,17,0,27,0,0,3
128,Water Weird,3,58,13,17,16,13,11,10,10,10,0,15,0,0,3
129,Wight,3,45,14,15,14,16,10,13,15,5.5,7.5,8,12,0,2
130,Yeti,3,51,12,18,13,16,8,12,7,11,0,16,0,0,3
131,Yuan-Ti Malison,3,66,12,16,14,13,14,12,16,0,0,0,0,1,2
132,Banshee,4,58,12,1,14,10,12,11,17,12.5,0,20,0,0,2
133,Barghest,4,90,17,19,15,14,13,12,14,13,8.5,20,12,1,3
134,Chuul,4,93,16,19,10,16,5,11,5,11,0,16,0,0,3
135,Couatl,4,97,19,16,20,17,18,20,18,8.5,10,11,15,1,2
136,Ettin,4,85,12,21,8,17,6,10,8,14,14,21,21,0,3
137,Flameskull,4,40,13,1,17,14,16,10,11,10.5,0,18,0,1,0
138,Ghost,4,45,11,7,13,10,10,12,17,17,0,27,0,0,2
139,Girallon,4,59,13,18,16,16,5,12,7,7.5,7.5,10,10,0,3
140,Gnoll Fang of Yeenoghu,4,65,14,17,15,15,10,11,13,6.5,7.5,9,11,0,2
141,Helmed Horror,4,60,20,18,13,16,10,10,10,9.5,0,14,0,0,2
142,Hobgoblin Devastator,4,45,13,13,12,14,16,13,11,4.5,0,7,0,1,2
143,Lamia,4,97,13,16,13,15,14,15,16,14,5.5,23,7,1,3
144,Lizard King/Queen,4,78,15,17,12,15,11,11,15,6.5,5.5,9,7,0,2
145,Neogi Master,4,71,15,6,16,14,16,12,18,6.5,8,9,11,1,2
146,Orc Blade of Ilneval,4,60,18,17,11,17,10,12,14,12,6.5,19,9,0,2
147,Orc War Chief,4,93,16,18,12,18,11,11,16,15,13,24,20,0,2
148,Succubus/Incubus,4,66,15,8,17,13,15,12,20,6.5,0,9,0,0,2
149,Yeth Hound,4,51,14,18,17,16,5,12,7,11,0,16,0,0,3
150,Banderhobb,5,84,15,20,12,20,11,14,8,22.5,10.5,35,18,0,3
151,Bulette,5,94,17,19,11,21,2,10,5,30,0,52,0,0,3
152,Cambion,5,82,19,18,18,16,14,12,16,12,10.5,18,18,1,2
153,Catoblepas,5,84,14,19,12,21,3,4,8,21.5,36,34,64,0,3
154,Drow Elite Warrior,5,71,18,13,18,14,11,13,12,18,7.5,28,10,0,2
155,Gorgon,5,114,19,20,11,18,2,12,7,18,16,29,25,0,3
156,Mindwitness,5,75,15,10,14,14,15,15,10,16,20,26,34,0,3
157,Otyugh,5,114,14,16,11,19,6,13,6,12,12,19,19,0,3
158,Revenant,5,136,13,18,14,18,13,16,18,11,0,16,0,0,2
159,Roper,5,93,20,18,8,17,7,16,6,22,0,36,0,0,3
160,Sahuagin Baron,5,76,16,19,15,16,14,13,17,9,11,12,16,0,3
161,Salamander,5,90,15,18,14,15,11,10,12,16.5,18,26,28,0,3
162,Shambling Mound,5,136,15,18,8,16,5,10,5,13,0,20,0,0,3
163,Spawn of Kyuss,5,76,10,16,11,18,5,7,3,13.5,0,21,0,0,2
164,Tlincalli,5,85,15,16,13,16,8,12,8,8.5,6.5,13,9,0,3
165,Troll,5,84,15,18,13,20,7,9,7,7.5,11,10,16,0,3
166,Umber Hulk,5,93,18,20,13,16,9,10,10,9.5,14,13,21,0,3
167,Unicorn,5,67,12,18,14,15,11,17,16,11,8.5,16,12,1,3
168,Vampire Spawn,5,82,15,16,16,16,11,10,12,8,13.5,11,21,0,2
169,Wood Woad,5,75,18,18,12,16,10,13,8,14,0,20,0,0,2
170,Wraith,5,67,13,6,16,16,12,14,15,21,0,35,0,0,2
171,Xorn,5,73,19,17,10,22,11,10,11,6.5,13.5,9,21,0,2
172,Bodak,6,58,15,15,16,15,7,12,12,4.5,22,6,40,0,2
173,Chimera,6,114,14,19,11,19,3,14,10,11,10.5,16,16,0,3
174,Cyclops,6,138,14,22,11,20,8,6,10,19.5,28,30,46,0,4
175,Drider,6,123,19,16,16,18,13,14,12,11.5,8.5,20,13,1,3
176,Galeb Duhr,6,85,16,20,14,20,11,12,11,12,0,17,0,0,2
177,Githzerai Zerth,6,84,17,13,18,15,16,17,12,24.5,0,40,0,1,2
178,Hobgoblin Warlord,6,97,20,16,14,16,14,11,15,8.5,5.5,13,7,0,2
179,Invisible Stalker,6,104,14,16,19,14,10,15,11,10,0,15,0,0,2
180,Kuo-Toa Archpriest,6,97,13,16,14,16,13,16,14,20.5,4.5,33,6,1,2
181,Medusa,6,127,15,10,15,16,12,13,15,18.5,5.5,30,8,0,2
182,Wyvern,6,110,13,19,1,16,5,12,6,11,13,16,20,0,3
183,Drow Mage,7,45,12,9,14,10,17,13,12,7,0,13,0,1,2
184,Grick Alpha,7,75,18,18,16,15,4,14,9,11,22,16,36,0,2
185,Korred,7,102,17,23,14,20,10,15,9,10.5,15,14,22,1,1
186,Mind Flayer,7,71,15,11,12,12,19,17,17,15,55,24,100,1,2
187,Oni,7,110,16,19,11,16,14,12,15,8.5,15,12,24,1,3
188,Shield Guardian,7,142,17,18,8,18,7,10,3,11,0,16,0,0,3
189,Yuan-Ti Abomination,7,127,15,19,16,17,17,15,18,18,11,28,16,1,3
190,Cloaker,8,78,14,17,15,12,13,12,14,10,7.5,15,11,0,3
191,Drow Priestess of Lolth,8,71,16,10,14,12,13,17,18,23,0,38,0,0,2
192,Fomorian,8,149,14,23,10,20,9,14,6,19.5,27,30,48,0,4
193,Githyanki Knight,8,91,18,16,14,15,14,14,15,23.5,0,36,0,1,2
194,Hydra,8,172,15,20,12,20,2,10,7,10.5,0,15,0,0,4
195,Treant,9,138,16,23,8,21,12,16,12,16.5,28,24,46,0,4
196,Shrieker,10,180,20,12,30,16,12,17,14,0,0,0,0,0,3
197,Froghemoth,10,184,14,23,13,20,2,12,5,19.5,22.5,30,36,0,4
198,Aboleth,10,135,17,21,9,15,18,15,18,12,15.5,17,23,0,3
199,Behir,11,168,17,23,16,18,7,16,12,22.5,34,36,52,0,4
200,Morkoth,11,130,17,14,14,14,20,15,13,9,15.5,14,26,1,2
201,Remorhaz,11,195,17,24,13,21,4,10,5,50.5,0,85,0,0,4
202,Roc,11,248,15,28,10,20,3,10,9,27,23,41,33,0,5
203,Ki-Rin,12,152,20,21,16,16,19,20,20,10,14,13,21,1,4
204,Beholder,13,180,18,10,14,18,17,15,17,14,0,24,0,0,3
205,Devourer,13,178,16,20,12,20,13,10,16,33,44,53,80,0,3
206,Neothelid,13,325,16,27,7,21,3,16,12,21.5,35,32,60,1,5
207,Rakshasa,13,110,16,14,17,18,13,16,20,9,0,14,0,1,2
208,Vampire,13,144,16,18,18,18,17,15,18,18,0,28,0,0,2
209,Mummy Lord,15,97,17,18,10,17,11,18,16,35.5,0,58,0,1,2
210,Purple Worm,15,247,18,28,7,22,1,8,4,22.5,61.5,33,99,0,5
211,Death Knight,17,180,20,20,11,20,12,16,18,28.5,0,47,0,1,2
212,Demilich,18,80,20,1,20,10,20,17,20,21,0,36,0,0,0
213,Lich,21,135,17,11,16,16,20,14,16,10.5,0,18,0,1,2
214,Empyrean,23,313,22,30,21,30,21,22,27,31,24.5,46,42,1,4
215,Kraken,23,472,18,30,11,25,22,18,20,23.5,20.5,34,28,0,5
216,Tarrasque,30,676,25,30,11,30,3,11,11,28,32,42,50,0,5
